Date,Time,Location,Humidity,MaxTemp,Rainfall
04/01/2016,18:00:00,LUSAKA CITY AIRPOR,,31.1,0
05/01/2016,19:00:00,LUSAKA CITY AIRPOR,,31,0
06/01/2016,20:00:00,LUSAKA CITY AIRPOR,,32.5,0
07/01/2016,21:00:00,LUSAKA CITY AIRPOR,,33.5,0
08/01/2016,22:00:00,LUSAKA CITY AIRPOR,,32.6,28.8
09/01/2016,23:00:00,LUSAKA CITY AIRPOR,,27.4,0
10/01/2016,0:00:00,LUSAKA CITY AIRPOR,,29.5,0
11/01/2016,1:00:00,LUSAKA CITY AIRPOR,,29,0
12/01/2016,2:00:00,LUSAKA CITY AIRPOR,,28.9,0
13/01/2016,3:00:00,LUSAKA CITY AIRPOR,,32,0
14/01/2016,4:00:00,LUSAKA CITY AIRPOR,,29.3,34.1
15/01/2016,5:00:00,LUSAKA CITY AIRPOR,,29.1,23.7
16/01/2016,6:00:00,LUSAKA CITY AIRPOR,,27,1.6
17/01/2016,7:00:00,LUSAKA CITY AIRPOR,,25,0
18/01/2016,8:00:00,LUSAKA CITY AIRPOR,,25.1,0
19/01/2016,9:00:00,LUSAKA CITY AIRPOR,,26.6,0
20/01/2016,10:00:00,LUSAKA CITY AIRPOR,,28.1,0
21/01/2016,11:00:00,LUSAKA CITY AIRPOR,,27.5,0
22/01/2016,12:00:00,LUSAKA CITY AIRPOR,,29.1,0
23/01/2016,13:00:00,LUSAKA CITY AIRPOR,,30.5,0
24/01/2016,14:00:00,LUSAKA CITY AIRPOR,,30.4,0
25/01/2016,15:00:00,LUSAKA CITY AIRPOR,,28.5,2.1
26/01/2016,16:00:00,LUSAKA CITY AIRPOR,,26.5,0
27/01/2016,17:00:00,LUSAKA CITY AIRPOR,,25.7,18.7
28/01/2016,18:00:00,LUSAKA CITY AIRPOR,,25,16.1
29/01/2016,19:00:00,LUSAKA CITY AIRPOR,,26,11
30/01/2016,20:00:00,LUSAKA CITY AIRPOR,,25.5,17
31/01/2016,21:00:00,LUSAKA CITY AIRPOR,,26.5,0
01/02/2016,22:00:00,LUSAKA CITY AIRPOR,,26.6,0
02/02/2016,23:00:00,LUSAKA CITY AIRPOR,,26.7,7.1
03/02/2016,0:00:00,LUSAKA CITY AIRPOR,,25,2.1
04/02/2016,1:00:00,LUSAKA CITY AIRPOR,,26.4,0
05/02/2016,2:00:00,LUSAKA CITY AIRPOR,,28.6,5.3
06/02/2016,3:00:00,LUSAKA CITY AIRPOR,,27.9,1
07/02/2016,4:00:00,LUSAKA CITY AIRPOR,,25.5,19.4
08/02/2016,5:00:00,LUSAKA CITY AIRPOR,,27.4,0.9
09/02/2016,6:00:00,LUSAKA CITY AIRPOR,,28.5,0
10/02/2016,7:00:00,LUSAKA CITY AIRPOR,,27.5,0
11/02/2016,8:00:00,LUSAKA CITY AIRPOR,,29,0
12/02/2016,9:00:00,LUSAKA CITY AIRPOR,,29.3,0
13/02/2016,10:00:00,LUSAKA CITY AIRPOR,,28.7,0
14/02/2016,11:00:00,LUSAKA CITY AIRPOR,,28.7,3.1
15/02/2016,12:00:00,LUSAKA CITY AIRPOR,,28,0
16/02/2016,13:00:00,LUSAKA CITY AIRPOR,,26.5,22.5
17/02/2016,14:00:00,LUSAKA CITY AIRPOR,,24.5,0
18/02/2016,15:00:00,LUSAKA CITY AIRPOR,,28.4,0
19/02/2016,16:00:00,LUSAKA CITY AIRPOR,,29.4,0
20/02/2016,17:00:00,LUSAKA CITY AIRPOR,,28.5,0
21/02/2016,18:00:00,LUSAKA CITY AIRPOR,,30.5,8.5
22/02/2016,19:00:00,LUSAKA CITY AIRPOR,,32,0
23/02/2016,20:00:00,LUSAKA CITY AIRPOR,,30,2.7
24/02/2016,21:00:00,LUSAKA CITY AIRPOR,,29.5,0
25/02/2016,22:00:00,LUSAKA CITY AIRPOR,,29,0
26/02/2016,23:00:00,LUSAKA CITY AIRPOR,,29.9,0
27/02/2016,0:00:00,LUSAKA CITY AIRPOR,,28.9,54
28/02/2016,1:00:00,LUSAKA CITY AIRPOR,,28.5,9.9
29/02/2016,2:00:00,LUSAKA CITY AIRPOR,,25.2,27.3
01/03/2016,3:00:00,LUSAKA CITY AIRPOR,,27,0
02/03/2016,4:00:00,LUSAKA CITY AIRPOR,,26.1,0
03/03/2016,5:00:00,LUSAKA CITY AIRPOR,,28.1,20.2
04/03/2016,6:00:00,LUSAKA CITY AIRPOR,,24.8,0
05/03/2016,7:00:00,LUSAKA CITY AIRPOR,,27.1,17.4
